attraction_id,attraction_name,locality_ar,region_ar,feature_id,feature_name,primary_category,folders,longitude,latitude,name_score,context_score,combined_score,feature_index
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","591","قلتة تين أمتيلي","البرك والبلطات والقلتات","Untitled layer","10.6465777777778","24.60335","0.2500","0.2143","0.2429","590"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","592","قلتة تين تراريت","البرك والبلطات والقلتات","Untitled layer","10.5113611","25.2919389","0.2500","0.2143","0.2429","591"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","200","وادي البرك","الأودية ومصباتها","Untitled layer","21.426434","32.6425168","0.0000","0.3077","0.0615","199"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","275","وادي الغدير","الأودية ومصباتها","Untitled layer","16.8755073","26.8660542","0.0000","0.2857","0.0571","274"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","276","وادي الغدير","الأودية ومصباتها","Untitled layer","14.8340949","28.5125553","0.0000","0.2857","0.0571","275"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","349","وادي بلغدير","الأودية ومصباتها","Untitled layer","21.8517352","32.8176855","0.0000","0.2857","0.0571","348"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","573","البرك","البرك والبلطات والقلتات","Untitled layer","21.4254823","32.6433046","0.0000","0.2727","0.0545","572"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","574","البلطة","البرك والبلطات والقلتات","Untitled layer","18.13123","27.76294","0.0000","0.2500","0.0500","573"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","575","برك نوطة","البرك والبلطات والقلتات","Untitled layer","21.8105328","32.9088836","0.0000","0.2308","0.0462","574"
"LTA-FEAT-013","قلتة المياه – أكاكوس","قيد التحقق التفصيلي","أكاكوس","577","بركة الحصان","البرك والبلطات والقلتات","Untitled layer","22.2162000000001","32.8456","0.0000","0.2308","0.0462","576"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","526","بحيرة","البحيرات الطبيعية والصحراوية","Untitled layer","13.3255708","27.4750061","0.5000","0.3333","0.4667","525"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","521","بحيرات العامرة","البحيرات الطبيعية والصحراوية","Untitled layer","24.7115993","29.6012973","0.3333","0.3000","0.3267","520"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","522","بحيرات المحروقة","البحيرات الطبيعية والصحراوية","Untitled layer","14.0707116","27.4397354","0.3333","0.3000","0.3267","521"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","523","بحيرات برقن","البحيرات الطبيعية والصحراوية","Untitled layer","13.6258365","27.5316778","0.3333","0.3000","0.3267","522"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","524","بحيرات برقن","البحيرات الطبيعية والصحراوية","Untitled layer","13.6335675","27.511145","0.3333","0.3000","0.3267","523"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","525","بحيرات زلة","البحيرات الطبيعية والصحراوية","Untitled layer","17.5572158","28.5428914","0.3333","0.3000","0.3267","524"
"LTA-FEAT-014","بحيرات نوضا","قيد التحقق","قيد التحقق","532","بحيرة احجارة","البحيرات الطبيعية والصحراوية","Untitled layer","14.4708333","27.0588889","0.3333","0.3000","0.3267","531"
